attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
247,8,abrinal01,114,94,341,44,Álex Abrines,1055,33,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],134,6,23,37,Team.OKLAHOMA_CITY_THUNDER,406,49,68,40,18,68
7,0,acyqu01,9,1,17,2,Quincy Acy,48,2,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5,0,26,0,Team.DALLAS_MAVERICKS,13,3,6,0,2,6
83,15,acyqu01,58,36,153,43,Quincy Acy,510,19,[<Position.POWER_FORWARD: 'POWER FORWARD'>],65,1,26,14,Team.BROOKLYN_NETS,209,57,32,18,18,89
1,78,adamsst01,195,0,655,157,Steven Adams,2389,146,[<Position.CENTER: 'CENTER'>],374,80,23,89,Team.OKLAHOMA_CITY_THUNDER,905,257,80,86,281,332
151,6,afflaar01,104,62,420,83,Arron Afflalo,1580,42,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],185,45,31,21,Team.SACRAMENTO_KINGS,515,93,61,78,9,116
4,22,ajincal01,77,0,178,29,Alexis Ajinça,584,31,[<Position.CENTER: 'CENTER'>],89,15,28,20,Team.NEW_ORLEANS_PELICANS,207,40,39,12,46,131
0,23,aldrico01,85,0,86,15,Cole Aldrich,531,17,[<Position.CENTER: 'CENTER'>],45,0,28,25,Team.MINNESOTA_TIMBERWOLVES,105,22,62,25,51,107
56,88,aldrila01,158,23,1049,220,LaMarcus Aldridge,2335,98,[<Position.POWER_FORWARD: 'POWER FORWARD'>],500,72,31,46,Team.SAN_ANTONIO_SPURS,1243,271,72,139,172,351
1,24,allenla01,78,0,168,23,Lavoy Allen,871,29,[<Position.POWER_FORWARD: 'POWER FORWARD'>],77,5,27,18,Team.INDIANA_PACERS,177,33,61,57,105,114
54,29,allento01,178,15,595,80,Tony Allen,1914,100,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],274,66,35,115,Team.MEMPHIS_GRIZZLIES,643,130,71,98,166,225
212,44,aminual01,102,70,466,96,Al-Farouq Aminu,1773,94,[<Position.POWER_FORWARD: 'POWER FORWARD'>],183,25,26,60,Team.PORTLAND_TRAIL_BLAZERS,532,136,61,99,77,374
3,7,anderch01,20,0,22,10,Chris Andersen,114,5,[<Position.CENTER: 'CENTER'>],9,0,38,5,Team.CLEVELAND_CAVALIERS,28,14,12,5,9,22
44,0,anderal01,35,14,80,12,Alan Anderson,308,7,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30,0,34,3,Team.LOS_ANGELES_CLIPPERS,86,16,30,11,3,21
122,16,anderju01,64,37,277,70,Justin Anderson,710,40,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],111,2,23,28,Team.DALLAS_MAVERICKS,329,88,51,32,39,110
72,7,anderju01,45,21,162,32,Justin Anderson,518,26,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],75,8,23,13,Team.PHILADELPHIA_76ERS,203,41,24,34,30,66
40,26,anderky01,63,15,209,45,Kyle Anderson,1020,39,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],93,14,23,51,Team.SAN_ANTONIO_SPURS,246,57,72,91,33,175
506,14,anderry01,142,204,773,129,Ryan Anderson,2116,55,[<Position.POWER_FORWARD: 'POWER FORWARD'>],323,72,28,31,Team.HOUSTON_ROCKETS,979,150,72,68,112,218
180,151,antetgi01,246,49,1259,471,Giannis Antetokounmpo,2845,234,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],656,80,22,131,Team.MILWAUKEE_BUCKS,1832,612,80,434,142,558
421,34,anthoca01,198,151,1389,304,Carmelo Anthony,2538,153,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],602,74,32,60,Team.NEW_YORK_KNICKS,1659,365,74,213,62,376
0,6,anthojo01,11,0,16,5,Joel Anthony,122,4,[<Position.CENTER: 'CENTER'>],10,0,34,2,Team.SAN_ANTONIO_SPURS,25,8,19,3,8,23
555,20,arizatr01,133,191,798,93,Trevor Ariza,2773,73,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],326,80,31,147,Team.HOUSTON_ROCKETS,936,126,80,175,54,404
117,21,arthuda01,76,53,215,19,Darrell Arthur,639,36,[<Position.POWER_FORWARD: 'POWER FORWARD'>],95,7,28,19,Team.DENVER_NUGGETS,262,22,41,42,25,87
0,10,asikom01,51,0,65,23,Ömer Aşık,482,14,[<Position.CENTER: 'CENTER'>],31,19,30,5,Team.NEW_ORLEANS_PELICANS,85,39,31,15,48,115
274,1,augusdj01,101,95,517,131,D.J. Augustin,1538,90,[<Position.POINT_GUARD: 'POINT GUARD'>],195,20,29,31,Team.ORLANDO_MAGIC,616,161,78,209,15,102
210,11,babbilu01,118,87,281,11,Luke Babbitt,1065,25,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],113,55,27,20,Team.MIAMI_HEAT,324,15,68,36,12,129
86,8,bakerro01,74,23,217,28,Ron Baker,857,56,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],82,13,23,34,Team.NEW_YORK_KNICKS,215,43,52,107,12,86
22,7,baldwwa01,40,3,115,31,Wade Baldwin,405,39,[<Position.POINT_GUARD: 'POINT GUARD'>],36,1,20,18,Team.MEMPHIS_GRIZZLIES,106,37,33,61,11,35
98,8,barbole01,82,35,392,40,Leandro Barbosa,963,48,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],172,0,34,31,Team.PHOENIX_SUNS,419,45,67,81,15,89
148,1,bareajo01,30,53,343,44,J.J. Barea,771,63,[<Position.POINT_GUARD: 'POINT GUARD'>],142,6,32,14,Team.DALLAS_MAVERICKS,381,51,35,193,9,75
222,15,barneha02,128,78,1280,242,Harrison Barnes,2803,102,[<Position.POWER_FORWARD: 'POWER FORWARD'>],599,79,24,65,Team.DALLAS_MAVERICKS,1518,281,79,116,93,301
211,17,barnema02,138,69,383,50,Matt Barnes,1367,83,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],147,13,36,36,Team.SACRAMENTO_KINGS,413,66,54,150,55,238
52,9,barnema02,47,18,90,20,Matt Barnes,410,24,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],38,5,36,12,Team.GOLDEN_STATE_WARRIORS,114,23,20,45,15,76
235,28,bartowi01,110,87,666,143,Will Barton,1705,97,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],295,19,26,48,Team.DENVER_NUGGETS,820,190,60,206,58,201
