attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
127,6,abrinal01,53,41,157,12,Álex Abrines,588,14,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],56,2,25,17,Team.OKLAHOMA_CITY_THUNDER,165,13,31,20,5,43
15,4,acyqu01,24,2,18,7,Quincy Acy,123,4,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4,0,28,1,Team.PHOENIX_SUNS,17,10,10,8,3,22
74,5,adamsja01,45,25,110,7,Jaylen Adams,428,28,[<Position.POINT_GUARD: 'POINT GUARD'>],38,1,22,14,Team.ATLANTA_HAWKS,108,9,34,65,11,49
2,76,adamsst01,204,0,809,146,Steven Adams,2669,135,[<Position.CENTER: 'CENTER'>],481,80,25,117,Team.OKLAHOMA_CITY_THUNDER,1108,292,80,124,391,369
15,65,adebaba01,203,3,486,166,Bam Adebayo,1913,121,[<Position.CENTER: 'CENTER'>],280,28,21,71,Team.MIAMI_HEAT,729,226,82,184,165,432
23,4,adelde01,13,6,36,4,Deng Adel,194,6,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11,3,21,1,Team.CLEVELAND_CAVALIERS,32,4,19,5,3,16
4,0,akoonde01,4,0,10,1,DeVaughn Akoon-Purcell,22,2,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3,0,25,2,Team.DENVER_NUGGETS,7,2,7,6,1,3
42,107,aldrila01,179,10,1319,349,LaMarcus Aldridge,2687,144,[<Position.CENTER: 'CENTER'>],684,81,33,43,Team.SAN_ANTONIO_SPURS,1727,412,81,194,251,493
12,0,alkinra01,7,3,39,8,Rawle Alkins,120,8,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],13,1,21,1,Team.CHICAGO_BULLS,37,12,10,13,11,15
99,6,allengr01,47,32,178,45,Grayson Allen,416,33,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],67,2,23,6,Team.UTAH_JAZZ,211,60,38,25,3,20
45,120,allenja01,184,6,568,197,Jarrett Allen,2096,103,[<Position.CENTER: 'CENTER'>],335,80,20,43,Team.BROOKLYN_NETS,873,278,80,110,191,481
36,4,allenka01,46,17,141,42,Kadeem Allen,416,26,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],65,1,26,16,Team.NEW_YORK_KNICKS,189,54,19,76,8,43
280,33,aminual01,143,96,593,150,Al-Farouq Aminu,2292,72,[<Position.POWER_FORWARD: 'POWER FORWARD'>],257,81,28,68,Team.PORTLAND_TRAIL_BLAZERS,760,173,81,104,112,498
77,13,anderju01,48,24,157,26,Justin Anderson,463,23,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],64,4,25,22,Team.ATLANTA_HAWKS,178,35,48,23,24,60
34,37,anderky01,112,9,276,37,Kyle Anderson,1281,58,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],150,40,25,54,Team.MEMPHIS_GRIZZLIES,346,64,43,128,48,203
34,1,anderry01,23,7,60,11,Ryan Anderson,278,12,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,8,30,3,Team.PHOENIX_SUNS,56,14,15,17,14,31
6,0,anderry01,2,2,9,1,Ryan Anderson,44,2,[<Position.POWER_FORWARD: 'POWER FORWARD'>],2,0,30,1,Team.MIAMI_HEAT,7,2,10,2,4,5
0,1,anigbik01,0,0,3,0,Ike Anigbogu,6,1,[<Position.CENTER: 'CENTER'>],0,0,20,0,Team.INDIANA_PACERS,0,0,3,1,1,2
203,110,antetgi01,232,52,1247,500,Giannis Antetokounmpo,2358,268,[<Position.POWER_FORWARD: 'POWER FORWARD'>],721,72,24,92,Team.MILWAUKEE_BUCKS,1994,686,72,424,159,739
0,0,antetko01,0,0,3,2,Kostas Antetokounmpo,11,1,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0,0,21,2,Team.DALLAS_MAVERICKS,2,4,2,0,0,1
64,7,anthoca01,32,21,121,15,Carmelo Anthony,294,8,[<Position.POWER_FORWARD: 'POWER FORWARD'>],49,2,34,4,Team.HOUSTON_ROCKETS,134,22,10,5,9,45
202,22,anunoog01,140,67,404,36,OG Anunoby,1352,55,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],183,6,21,46,Team.TORONTO_RAPTORS,469,62,67,47,58,139
217,4,arcidry01,171,81,418,89,Ryan Arcidiacono,1961,63,[<Position.POINT_GUARD: 'POINT GUARD'>],187,32,24,65,Team.CHICAGO_BULLS,544,102,81,269,27,192
139,8,arizatr01,44,50,227,36,Trevor Ariza,884,39,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],86,26,33,38,Team.PHOENIX_SUNS,258,43,26,87,16,129
295,13,arizatr01,86,95,509,94,Trevor Ariza,1465,67,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],208,43,33,53,Team.WASHINGTON_WIZARDS,605,121,43,165,34,192
311,4,augusdj01,115,131,677,181,D.J. Augustin,2269,128,[<Position.POINT_GUARD: 'POINT GUARD'>],318,81,31,52,Team.ORLANDO_MAGIC,948,209,81,426,41,162
4,67,aytonde01,209,0,870,141,Deandre Ayton,2183,126,[<Position.CENTER: 'CENTER'>],509,70,20,61,Team.PHOENIX_SUNS,1159,189,71,125,223,506
87,5,bacondw01,72,38,257,34,Dwayne Bacon,759,18,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],122,13,23,12,Team.CHARLOTTE_HORNETS,316,46,43,47,8,81
96,59,baglema01,120,30,706,181,Marvin Bagley,1567,98,[<Position.POWER_FORWARD: 'POWER FORWARD'>],356,4,19,33,Team.SACRAMENTO_KINGS,923,262,62,62,162,309
9,0,bakerro01,16,1,16,5,Ron Baker,107,3,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4,0,25,5,Team.NEW_YORK_KNICKS,14,6,11,13,1,6
4,1,bakerro01,2,0,4,0,Ron Baker,45,2,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],0,0,25,1,Team.WASHINGTON_WIZARDS,0,0,4,2,0,4
9,2,baldwwa01,11,2,33,8,Wade Baldwin,94,14,[<Position.POINT_GUARD: 'POINT GUARD'>],10,0,22,1,Team.PORTLAND_TRAIL_BLAZERS,30,11,16,12,2,13
228,19,balllo01,114,75,456,20,Lonzo Ball,1423,103,[<Position.POINT_GUARD: 'POINT GUARD'>],185,45,21,69,Team.LOS_ANGELES_LAKERS,465,48,47,255,54,197
70,64,bambamo01,102,21,243,37,Mo Bamba,766,43,[<Position.CENTER: 'CENTER'>],117,1,20,13,Team.ORLANDO_MAGIC,292,63,47,39,64,169
128,1,bareajo01,50,38,385,55,J.J. Barea,752,72,[<Position.POINT_GUARD: 'POINT GUARD'>],161,0,34,22,Team.DALLAS_MAVERICKS,415,78,38,211,13,82
311,11,barneha02,79,121,717,165,Harrison Barnes,1584,68,[<Position.POWER_FORWARD: 'POWER FORWARD'>],290,49,26,33,Team.DALLAS_MAVERICKS,866,198,49,62,36,171
130,2,barneha02,43,53,310,64,Harrison Barnes,949,30,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],141,28,26,17,Team.SACRAMENTO_KINGS,399,80,28,53,21,133
196,22,bartowi01,82,67,460,57,Will Barton,1189,65,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],185,38,28,18,Team.DENVER_NUGGETS,494,74,43,124,32,167
