attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
20,40,abdursh01,243,3,654,170,Shareef Abdur-Rahim,2015,116,[<Position.CENTER: 'CENTER'>],310,45,30,53,Team.SACRAMENTO_KINGS,793,234,80,109,122,276
1,4,adamsha01,47,0,135,24,Hassan Adams,495,22,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],75,8,22,17,Team.NEW_JERSEY_NETS,174,36,61,13,35,42
15,3,agerma01,27,5,70,20,Maurice Ager,214,15,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,1,22,4,Team.DALLAS_MAVERICKS,69,33,32,7,1,20
2,73,aldrila01,186,0,479,83,LaMarcus Aldridge,1392,43,[<Position.CENTER: 'CENTER'>],241,22,21,22,Team.PORTLAND_TRAIL_BLAZERS,565,115,63,24,144,168
1,16,allenma01,85,0,258,28,Malik Allen,638,21,[<Position.POWER_FORWARD: 'POWER FORWARD'>],107,1,28,17,Team.CHICAGO_BULLS,242,34,60,16,42,77
443,11,allenra02,113,165,1153,279,Ray Allen*,2219,154,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],505,55,31,82,Team.SEATTLE_SUPERSONICS,1454,309,55,228,57,190
33,12,allento01,87,8,259,105,Tony Allen,805,75,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],133,18,25,49,Team.BOSTON_CELTICS,379,134,33,56,35,89
529,10,alstora01,195,192,1020,130,Rafer Alston,3040,170,[<Position.POINT_GUARD: 'POINT GUARD'>],383,82,30,129,Team.HOUSTON_ROCKETS,1088,177,82,444,29,253
0,0,amundlo01,0,0,0,0,Lou Amundson,2,0,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0,0,24,0,Team.UTAH_JAZZ,0,0,1,0,0,0
0,8,amundlo01,15,0,15,4,Lou Amundson,87,5,[<Position.POWER_FORWARD: 'POWER FORWARD'>],6,0,24,1,Team.PHILADELPHIA_76ERS,16,10,10,1,13,15
20,0,anderal01,33,5,81,19,Alan Anderson,256,22,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],37,0,24,7,Team.CHARLOTTE_BOBCATS,98,23,17,21,11,21
152,7,anderde01,115,54,294,93,Derek Anderson,1190,56,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],126,32,32,52,Team.CHARLOTTE_BOBCATS,399,106,50,133,29,84
149,23,anthoca01,203,40,1453,459,Carmelo Anthony,2486,234,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],691,65,22,77,Team.DENVER_NUGGETS,1881,568,65,249,143,248
0,2,araujra01,39,0,65,18,Rafael Araújo,248,17,[<Position.CENTER: 'CENTER'>],27,0,26,6,Team.UTAH_JAZZ,72,29,28,10,22,44
584,13,arenagi01,249,205,1548,606,Gilbert Arenas,2942,236,[<Position.POINT_GUARD: 'POINT GUARD'>],647,73,25,139,Team.WASHINGTON_WIZARDS,2105,718,74,443,61,277
7,19,arizatr01,134,0,371,106,Trevor Ariza,1278,84,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],200,7,21,59,Team.ORLANDO_MAGIC,506,171,57,65,98,151
214,6,armstda01,102,72,377,73,Darrell Armstrong,1275,76,[<Position.POINT_GUARD: 'POINT GUARD'>],156,4,38,70,Team.INDIANA_PACERS,457,93,81,191,34,101
0,26,armsthi01,79,0,125,40,Hilton Armstrong,634,35,[<Position.CENTER: 'CENTER'>],68,5,22,12,Team.NEW_ORLEANS_OKLAHOMA_CITY_HORNETS,176,67,56,10,58,91
51,2,arroyca01,131,14,478,132,Carlos Arroyo,1304,90,[<Position.POINT_GUARD: 'POINT GUARD'>],203,5,27,39,Team.ORLANDO_MAGIC,552,166,72,202,31,103
306,4,atkinch01,136,116,715,252,Chucky Atkins,2064,127,[<Position.POINT_GUARD: 'POINT GUARD'>],310,23,32,50,Team.MEMPHIS_GRIZZLIES,988,311,75,346,18,121
0,0,augusja01,2,0,3,0,James Augustine,7,0,[<Position.POWER_FORWARD: 'POWER FORWARD'>],1,0,22,0,Team.ORLANDO_MAGIC,2,0,2,2,1,2
79,10,azubuke01,49,34,220,61,Kelenna Azubuike,669,39,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],98,9,23,22,Team.GOLDEN_STATE_WARRIORS,291,78,41,28,26,68
