attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
0,0,abdursh01,9,0,14,4,Shareef Abdur-Rahim,51,1,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3,0,31,1,Team.SACRAMENTO_KINGS,10,4,6,4,6,4
48,8,afflaar01,83,10,241,68,Arron Afflalo,970,34,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],99,9,22,31,Team.DETROIT_PISTONS,276,87,75,52,36,101
8,1,agerma01,11,0,27,5,Maurice Ager,77,3,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],5,3,23,0,Team.DALLAS_MAVERICKS,15,6,12,4,1,3
11,0,agerma01,6,3,38,1,Maurice Ager,88,3,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],16,0,23,0,Team.NEW_JERSEY_NETS,36,6,14,4,3,6
34,0,ahearbl01,20,10,57,30,Blake Ahearn,177,16,[<Position.POINT_GUARD: 'POINT GUARD'>],15,0,23,6,Team.MIAMI_HEAT,70,31,12,19,1,18
7,94,aldrila01,240,1,1160,227,LaMarcus Aldridge,2649,126,[<Position.POWER_FORWARD: 'POWER FORWARD'>],561,76,22,55,Team.PORTLAND_TRAIL_BLAZERS,1350,298,76,122,220,358
2,21,allenma01,89,1,261,12,Malik Allen,763,32,[<Position.POWER_FORWARD: 'POWER FORWARD'>],124,12,29,15,Team.NEW_JERSEY_NETS,261,13,48,29,42,86
0,10,allenma01,60,0,66,11,Malik Allen,333,13,[<Position.POWER_FORWARD: 'POWER FORWARD'>],33,4,29,4,Team.DALLAS_MAVERICKS,77,12,25,15,24,44
452,16,allenra02,147,180,986,215,Ray Allen*,2624,127,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],439,73,32,65,Team.BOSTON_CELTICS,1273,237,73,225,75,193
57,21,allento01,168,18,389,138,Tony Allen,1373,109,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],169,11,26,62,Team.BOSTON_CELTICS,494,181,75,114,34,134
0,0,allrela01,1,0,4,1,Lance Allred,10,0,[<Position.CENTER: 'CENTER'>],1,0,26,0,Team.CLEVELAND_CAVALIERS,3,2,3,0,0,1
4,0,almonmo01,5,1,15,4,Morris Almond,39,2,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4,0,22,1,Team.UTAH_JAZZ,13,6,9,3,0,2
407,18,alstora01,139,143,924,98,Rafer Alston,2526,160,[<Position.POINT_GUARD: 'POINT GUARD'>],364,74,31,98,Team.HOUSTON_ROCKETS,969,137,74,392,28,232
0,1,amundlo01,13,0,16,2,Lou Amundson,64,2,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8,0,25,1,Team.PHILADELPHIA_76ERS,18,7,16,0,7,5
0,4,anderch01,6,0,7,2,Chris Andersen,34,1,[<Position.CENTER: 'CENTER'>],2,0,29,0,Team.NEW_ORLEANS_HORNETS,6,4,5,0,2,7
52,1,anderde01,49,19,125,28,Derek Anderson,396,25,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],47,0,33,12,Team.CHARLOTTE_BOBCATS,141,38,28,44,9,43
164,39,anthoca01,253,58,1481,464,Carmelo Anthony,2806,253,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],728,77,23,98,Team.DENVER_NUGGETS,1978,590,77,259,178,393
0,31,anthojo01,55,0,60,29,Joel Anthony,498,17,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,1,25,9,Team.MIAMI_HEAT,85,49,24,3,38,55
78,1,arenagi01,30,22,196,74,Gilbert Arenas,425,49,[<Position.POINT_GUARD: 'POINT GUARD'>],78,8,26,23,Team.WASHINGTON_WIZARDS,252,96,13,66,6,45
3,3,arizatr01,9,0,31,8,Trevor Ariza,115,5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],14,0,22,5,Team.ORLANDO_MAGIC,36,15,11,8,5,19
15,8,arizatr01,36,5,105,41,Trevor Ariza,431,18,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],55,3,22,26,Team.LOS_ANGELES_LAKERS,156,60,24,36,25,59
69,2,armstda01,53,23,110,20,Darrell Armstrong,549,41,[<Position.POINT_GUARD: 'POINT GUARD'>],40,2,39,28,Team.NEW_JERSEY_NETS,123,30,50,73,17,50
0,34,armsthi01,130,0,148,44,Hilton Armstrong,732,59,[<Position.CENTER: 'CENTER'>],67,3,23,15,Team.NEW_ORLEANS_HORNETS,178,70,65,23,65,98
84,2,arroyca01,85,29,348,87,Carlos Arroyo,1269,77,[<Position.POINT_GUARD: 'POINT GUARD'>],157,20,28,26,Team.ORLANDO_MAGIC,430,102,62,219,10,103
79,1,atkinch01,27,25,122,4,Chucky Atkins,352,10,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],42,0,33,9,Team.DENVER_NUGGETS,113,9,24,47,3,28
0,2,augusja01,18,0,34,4,James Augustine,149,6,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18,0,23,5,Team.ORLANDO_MAGIC,40,8,25,2,16,14
195,34,azubuke01,159,71,587,99,Kelenna Azubuike,1732,58,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],261,17,24,45,Team.GOLDEN_STATE_WARRIORS,692,138,81,75,107,217
12,30,balkmre01,132,1,186,41,Renaldo Balkman,952,37,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],91,0,23,44,Team.NEW_YORK_KNICKS,224,95,65,40,83,133
65,8,banksma01,38,25,109,12,Marcus Banks,310,16,[<Position.POINT_GUARD: 'POINT GUARD'>],44,1,26,8,Team.PHOENIX_SUNS,125,16,24,25,3,17
37,5,banksma01,27,15,82,15,Marcus Banks,259,21,[<Position.POINT_GUARD: 'POINT GUARD'>],42,2,26,6,Team.MIAMI_HEAT,114,19,12,36,1,24
422,18,barbole01,195,164,1021,175,Leandro Barbosa,2421,117,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],472,12,25,75,Team.PHOENIX_SUNS,1283,213,82,216,40,191
54,1,bareajo01,48,21,170,28,J.J. Barea,460,35,[<Position.POINT_GUARD: 'POINT GUARD'>],71,9,23,14,Team.DALLAS_MAVERICKS,191,35,44,58,4,43
261,37,bargnan01,211,90,725,142,Andrea Bargnani,1861,88,[<Position.POWER_FORWARD: 'POWER FORWARD'>],280,53,22,23,Team.TORONTO_RAPTORS,792,169,78,89,50,238
181,36,barnema02,159,53,442,59,Matt Barnes,1414,85,[<Position.POWER_FORWARD: 'POWER FORWARD'>],187,18,27,48,Team.GOLDEN_STATE_WARRIORS,486,79,73,139,94,230
3,0,barrean01,1,1,5,1,Andre Barrett,25,1,[<Position.POINT_GUARD: 'POINT GUARD'>],2,0,25,0,Team.LOS_ANGELES_CLIPPERS,6,2,4,7,0,1
13,8,barroea01,114,1,327,61,Earl Barron,889,48,[<Position.CENTER: 'CENTER'>],132,15,26,19,Team.MIAMI_HEAT,326,87,46,29,67,131
112,3,barrybr01,43,48,160,19,Brent Barry,554,18,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],77,1,36,17,Team.SAN_ANTONIO_SPURS,221,20,31,54,12,43
4,48,bassbr01,150,0,493,162,Brandon Bass,1557,82,[<Position.CENTER: 'CENTER'>],246,1,22,22,Team.DALLAS_MAVERICKS,654,197,79,58,120,227
