attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
0,2,adrieje01,13,0,16,7,Jeff Adrien,63,2,[<Position.POWER_FORWARD: 'POWER FORWARD'>],7,0,25,0,Team.HOUSTON_ROCKETS,21,12,8,1,5,17
221,13,afflaar01,134,88,699,197,Arron Afflalo,2086,85,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],329,62,26,36,Team.DENVER_NUGGETS,943,247,62,149,40,157
9,0,ahearbl01,4,2,14,0,Blake Ahearn,30,5,[<Position.POINT_GUARD: 'POINT GUARD'>],4,0,27,0,Team.UTAH_JAZZ,10,0,4,1,0,2
0,9,alabiso01,11,0,36,7,Solomon Alabi,122,5,[<Position.CENTER: 'CENTER'>],13,0,23,2,Team.TORONTO_RAPTORS,33,8,14,3,15,32
0,16,aldrico01,22,0,42,13,Cole Aldrich,173,9,[<Position.CENTER: 'CENTER'>],22,0,23,8,Team.OKLAHOMA_CITY_THUNDER,57,14,26,3,13,35
11,45,aldrila01,153,2,943,223,LaMarcus Aldridge,1994,111,[<Position.POWER_FORWARD: 'POWER FORWARD'>],483,55,26,51,Team.PORTLAND_TRAIL_BLAZERS,1191,274,55,134,150,292
0,18,allenla01,73,0,167,11,Lavoy Allen,624,20,[<Position.POWER_FORWARD: 'POWER FORWARD'>],79,15,22,13,Team.PHILADELPHIA_76ERS,169,14,41,34,47,124
234,8,allenra02,83,106,493,97,Ray Allen*,1565,68,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],226,42,36,49,Team.BOSTON_CELTICS,655,106,46,109,14,128
26,33,allento01,142,8,448,140,Tony Allen,1525,94,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],210,57,30,104,Team.MEMPHIS_GRIZZLIES,568,175,58,79,98,135
3,0,almonmo01,6,1,17,1,Morris Almond,67,1,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6,0,26,7,Team.WASHINGTON_WIZARDS,14,3,4,2,1,7
47,34,aminual01,136,13,365,86,Al-Farouq Aminu,1477,91,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],150,21,21,59,Team.NEW_ORLEANS_HORNETS,399,114,66,66,95,213
0,44,amundlo01,125,0,207,35,Lou Amundson,753,45,[<Position.POWER_FORWARD: 'POWER FORWARD'>],89,0,29,27,Team.INDIANA_PACERS,213,82,60,14,94,128
0,46,anderch01,52,0,108,50,Chris Andersen,486,17,[<Position.CENTER: 'CENTER'>],59,1,33,19,Team.DENVER_NUGGETS,168,82,32,6,48,100
61,3,anderal01,35,24,142,29,Alan Anderson,461,25,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],55,12,29,5,Team.TORONTO_RAPTORS,163,34,17,26,8,26
68,2,anderja01,35,19,174,39,James Anderson,603,30,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],66,2,22,8,Team.SAN_ANTONIO_SPURS,190,52,51,41,16,63
422,26,anderry01,146,166,757,150,Ryan Anderson,1964,57,[<Position.POWER_FORWARD: 'POWER FORWARD'>],332,61,23,50,Team.ORLANDO_MAGIC,980,171,61,54,224,247
