,name,Total baskets,Total points overall,Total defensive rebounds,Total offensive rebounds,Total assists
439,Damien Wilkins,3121.0,1640,365,179,343
440,Deron Williams,1126.0,4164,606,99,2332
441,Lou Williams,1324.0,2221,308,94,605
442,Marcus Williams,2746.0,859,225,43,413
443,Marcus Williams,2556.0,851,221,43,400
444,Marcus Williams,1252.0,546,138,29,273
445,Marcus Williams,261.0,538,134,29,260
446,Marcus Williams,205.0,556,146,33,276
447,Marcus Williams,183.0,548,142,33,263
448,Marvin Williams,3359.0,2869,863,313,339
449,Mo Williams,1541.0,3754,700,138,1164
450,Shawne Williams,900.0,659,199,106,83
451,Shelden Williams,1581.0,665,430,190,63
452,Shelden Williams,1262.0,627,428,189,59
453,Shelden Williams,853.0,702,421,190,60
454,Shelden Williams,877.0,664,419,189,56
455,Metta World Peace,639.0,3665,873,268,663
456,Antoine Wright,2369.0,1055,332,104,199
457,Antoine Wright,2416.0,809,259,74,145
458,Dorell Wright,1474.0,758,422,90,157
459,Lorenzen Wright,1463.0,209,179,99,46
460,Lorenzen Wright,1784.0,198,149,93,44
