attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
221,8,abrinal01,124,84,291,39,Álex Abrines,1134,25,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],115,8,24,38,Team.OKLAHOMA_CITY_THUNDER,353,46,75,28,26,88
292,29,acyqu01,149,102,365,49,Quincy Acy,1359,60,[<Position.POWER_FORWARD: 'POWER FORWARD'>],130,8,27,33,Team.BROOKLYN_NETS,411,60,70,57,40,217
2,78,adamsst01,215,0,712,160,Steven Adams,2487,128,[<Position.CENTER: 'CENTER'>],448,76,24,92,Team.OKLAHOMA_CITY_THUNDER,1056,286,76,88,384,301
7,41,adebaba01,138,0,340,129,Bam Adebayo,1368,66,[<Position.CENTER: 'CENTER'>],174,19,20,32,Team.MIAMI_HEAT,477,179,69,101,118,263
70,9,afflaar01,56,27,162,22,Arron Afflalo,682,21,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],65,3,32,4,Team.ORLANDO_MAGIC,179,26,53,30,4,62
0,1,aldrico01,11,0,15,2,Cole Aldrich,49,1,[<Position.CENTER: 'CENTER'>],5,0,29,2,Team.MINNESOTA_TIMBERWOLVES,12,6,21,3,3,12
92,90,aldrila01,161,27,1347,334,LaMarcus Aldridge,2509,111,[<Position.CENTER: 'CENTER'>],687,75,32,43,Team.SAN_ANTONIO_SPURS,1735,399,75,152,246,389
15,88,allenja01,147,5,397,114,Jarrett Allen,1441,82,[<Position.CENTER: 'CENTER'>],234,31,19,28,Team.BROOKLYN_NETS,587,147,72,49,144,244
11,2,allenka01,15,0,22,7,Kadeem Allen,107,9,[<Position.POINT_GUARD: 'POINT GUARD'>],6,1,25,3,Team.BOSTON_CELTICS,19,9,18,12,4,7
12,3,allento01,49,4,91,11,Tony Allen,273,19,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],44,0,36,11,Team.NEW_ORLEANS_PELICANS,103,21,22,9,20,27
339,40,aminual01,136,125,582,59,Al-Farouq Aminu,2072,79,[<Position.POWER_FORWARD: 'POWER FORWARD'>],230,67,27,79,Team.PORTLAND_TRAIL_BLAZERS,644,80,69,84,97,428
103,7,anderju01,54,34,202,28,Justin Anderson,519,16,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],87,0,24,15,Team.PHILADELPHIA_76ERS,236,38,38,25,25,68
57,60,anderky01,114,19,438,104,Kyle Anderson,1978,94,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],231,67,24,115,Team.SAN_ANTONIO_SPURS,585,146,74,202,84,312
339,21,anderry01,126,131,480,72,Ryan Anderson,1725,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],207,50,29,24,Team.HOUSTON_ROCKETS,617,93,66,60,94,237
0,3,anigbik01,1,0,9,5,Ike Anigbogu,30,2,[<Position.CENTER: 'CENTER'>],4,0,19,1,Team.INDIANA_PACERS,13,6,11,0,5,4
140,106,antetgi01,231,43,1402,487,Giannis Antetokounmpo,2756,223,[<Position.POWER_FORWARD: 'POWER FORWARD'>],742,75,23,109,Team.MILWAUKEE_BUCKS,2014,641,75,361,156,597
474,49,anthoca01,197,169,1168,148,Carmelo Anthony,2501,99,[<Position.POWER_FORWARD: 'POWER FORWARD'>],472,78,33,47,Team.OKLAHOMA_CITY_THUNDER,1261,193,78,103,67,386
197,14,anunoog01,130,73,346,39,OG Anunoby,1481,45,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],163,62,20,52,Team.TORONTO_RAPTORS,438,62,74,55,44,140
31,0,arcidry01,18,9,41,5,Ryan Arcidiacono,304,13,[<Position.POINT_GUARD: 'POINT GUARD'>],17,0,23,13,Team.CHICAGO_BULLS,48,6,24,35,1,24
462,13,arizatr01,132,170,651,76,Trevor Ariza,2269,52,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],268,67,32,98,Team.HOUSTON_ROCKETS,782,89,67,105,33,261
