attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
49,24,acyqu01,103,19,214,50,Quincy Acy,876,27,[<Position.POWER_FORWARD: 'POWER FORWARD'>],119,29,25,29,Team.SACRAMENTO_KINGS,307,68,59,27,65,123
1,0,adamsjo01,2,0,6,3,Jordan Adams,15,2,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],2,0,21,3,Team.MEMPHIS_GRIZZLIES,7,5,2,3,0,2
0,89,adamsst01,223,0,426,114,Steven Adams,2014,84,[<Position.CENTER: 'CENTER'>],261,80,22,42,Team.OKLAHOMA_CITY_THUNDER,636,196,80,62,219,314
238,10,afflaar01,142,91,799,110,Arron Afflalo,2371,82,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],354,57,30,25,Team.NEW_YORK_KNICKS,909,131,71,144,23,243
1,36,ajincal01,134,0,315,52,Alexis Ajinça,861,54,[<Position.CENTER: 'CENTER'>],150,17,27,19,Team.NEW_ORLEANS_PELICANS,352,62,59,31,75,194
0,68,aldrico01,139,0,225,60,Cole Aldrich,800,64,[<Position.CENTER: 'CENTER'>],134,5,27,47,Team.LOS_ANGELES_CLIPPERS,328,84,60,50,86,202
16,81,aldrila01,151,0,1045,259,LaMarcus Aldridge,2261,99,[<Position.POWER_FORWARD: 'POWER FORWARD'>],536,74,30,38,Team.SAN_ANTONIO_SPURS,1331,302,74,110,176,456
0,2,alexacl01,1,0,10,0,Cliff Alexander,36,1,[<Position.POWER_FORWARD: 'POWER FORWARD'>],5,0,20,1,Team.PORTLAND_TRAIL_BLAZERS,10,0,8,0,2,4
0,42,allenla01,147,0,370,46,Lavoy Allen,1599,69,[<Position.POWER_FORWARD: 'POWER FORWARD'>],191,28,26,26,Team.INDIANA_PACERS,428,73,79,76,162,262
42,18,allento01,175,15,469,90,Tony Allen,1620,78,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],215,57,34,110,Team.MEMPHIS_GRIZZLIES,535,138,64,70,104,192
349,53,aminual01,171,126,719,115,Al-Farouq Aminu,2341,120,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],299,82,25,72,Team.PORTLAND_TRAIL_BLAZERS,839,156,82,138,98,401
0,7,amundlo01,44,0,53,14,Lou Amundson,204,15,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,0,33,6,Team.NEW_YORK_KNICKS,52,27,29,12,23,26
5,3,anderch01,4,2,10,3,Chris Andersen,36,2,[<Position.CENTER: 'CENTER'>],4,1,37,1,Team.MIAMI_HEAT,13,4,7,3,3,6
9,10,anderch01,25,2,62,22,Chris Andersen,366,7,[<Position.CENTER: 'CENTER'>],34,14,37,14,Team.MEMPHIS_GRIZZLIES,92,32,20,9,33,56
37,1,anderal01,25,12,59,11,Alan Anderson,192,2,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],21,0,33,4,Team.WASHINGTON_WIZARDS,65,15,13,14,1,26
86,14,anderja01,54,23,178,22,James Anderson,721,42,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],67,15,26,21,Team.SACRAMENTO_KINGS,179,29,51,41,13,73
83,25,anderju01,45,22,175,44,Justin Anderson,647,24,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],71,9,22,19,Team.DALLAS_MAVERICKS,208,55,55,29,18,114
37,29,anderky01,97,12,295,62,Kyle Anderson,1245,59,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],138,11,22,60,Team.SAN_ANTONIO_SPURS,350,83,78,123,25,219
358,25,anderry01,109,131,929,199,Ryan Anderson,2008,90,[<Position.POWER_FORWARD: 'POWER FORWARD'>],397,7,27,38,Team.NEW_ORLEANS_PELICANS,1124,228,66,73,131,265
109,113,antetgi01,258,28,1013,296,Giannis Antetokounmpo,2823,208,[<Position.POINT_GUARD: 'POINT GUARD'>],513,79,21,94,Team.MILWAUKEE_BUCKS,1350,409,80,345,113,499
1,0,antetth01,2,0,4,0,Thanasis Antetokounmpo,6,0,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],3,0,23,0,Team.NEW_YORK_KNICKS,6,0,2,0,0,1
310,38,anthoca01,180,105,1307,334,Carmelo Anthony,2530,176,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],567,72,31,62,Team.NEW_YORK_KNICKS,1573,403,72,299,98,458
0,12,anthojo01,15,0,10,6,Joel Anthony,96,2,[<Position.CENTER: 'CENTER'>],6,0,33,2,Team.DETROIT_PISTONS,18,8,19,1,8,13
3,0,applike01,5,0,8,2,Keith Appling,27,3,[<Position.POINT_GUARD: 'POINT GUARD'>],2,0,23,1,Team.ORLANDO_MAGIC,6,2,5,1,0,1
499,26,arizatr01,177,185,859,126,Trevor Ariza,2859,113,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],357,81,30,160,Team.HOUSTON_ROCKETS,1025,161,81,188,67,299
117,48,arthuda01,185,45,489,40,Darrell Arthur,1516,66,[<Position.POWER_FORWARD: 'POWER FORWARD'>],221,16,27,53,Team.DENVER_NUGGETS,527,53,70,96,86,207
0,23,asikom01,124,0,195,61,Ömer Aşık,1178,60,[<Position.CENTER: 'CENTER'>],104,64,29,21,Team.NEW_ORLEANS_PELICANS,269,112,68,26,120,294
61,2,augusdj01,41,24,121,26,D.J. Augustin,519,30,[<Position.POINT_GUARD: 'POINT GUARD'>],46,0,28,13,Team.OKLAHOMA_CITY_THUNDER,142,34,34,66,5,38
107,2,augusdj01,44,44,229,77,D.J. Augustin,659,54,[<Position.POINT_GUARD: 'POINT GUARD'>],102,0,28,25,Team.DENVER_NUGGETS,325,94,28,132,3,49
1,3,pendeje02,18,0,23,6,Jeff Ayres,107,6,[<Position.CENTER: 'CENTER'>],12,0,28,0,Team.LOS_ANGELES_CLIPPERS,30,6,17,5,4,18
109,7,babbilu01,90,44,289,39,Luke Babbitt,845,23,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],122,13,26,11,Team.NEW_ORLEANS_PELICANS,327,50,47,53,25,123
5,3,bairsca01,19,1,40,7,Cameron Bairstow,103,4,[<Position.CENTER: 'CENTER'>],13,2,25,2,Team.CHICAGO_BULLS,34,8,18,6,4,24
110,10,barbole01,107,39,370,52,Leandro Barbosa,1079,53,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],171,0,33,44,Team.GOLDEN_STATE_WARRIORS,433,62,68,82,28,89
260,2,bareajo01,110,100,711,74,J.J. Barea,1667,113,[<Position.POINT_GUARD: 'POINT GUARD'>],317,16,31,26,Team.DALLAS_MAVERICKS,808,96,74,302,26,126
16,9,bargnan01,61,3,279,47,Andrea Bargnani,634,26,[<Position.CENTER: 'CENTER'>],127,0,30,4,Team.BROOKLYN_NETS,304,57,46,18,28,69
214,10,barneha02,136,82,633,102,Harrison Barnes,2042,57,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],295,59,23,41,Team.GOLDEN_STATE_WARRIORS,774,134,66,117,77,248
370,57,barnema02,234,119,693,111,Matt Barnes,2190,121,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],264,45,35,78,Team.MEMPHIS_GRIZZLIES,758,138,76,163,84,336
325,39,bartowi01,147,112,983,216,Will Barton,2353,139,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],425,1,25,71,Team.DENVER_NUGGETS,1178,268,82,203,59,417
2,55,bassbr01,125,0,317,125,Brandon Bass,1342,42,[<Position.POWER_FORWARD: 'POWER FORWARD'>],174,0,30,33,Team.LOS_ANGELES_LAKERS,473,148,66,74,104,181
399,43,batumni01,114,139,873,163,Nicolas Batum,2448,205,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],372,70,27,65,Team.CHARLOTTE_HORNETS,1046,192,70,403,55,373
231,11,bayleje01,111,101,437,70,Jerryd Bayless,1505,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],185,18,27,47,Team.MILWAUKEE_BUCKS,541,90,52,163,21,120
2,52,baynear01,151,0,384,126,Aron Baynes,1233,67,[<Position.CENTER: 'CENTER'>],194,1,29,21,Team.DETROIT_PISTONS,514,165,81,51,140,244
305,38,bazemke01,176,109,725,123,Kent Bazemore,2083,138,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],320,68,26,98,Team.ATLANTA_HAWKS,872,151,75,171,28,351
271,11,bealbr01,117,105,799,135,Bradley Beal,1708,112,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],359,35,22,54,Team.WASHINGTON_WIZARDS,958,176,55,162,41,147
9,9,beaslmi01,39,3,205,38,Michael Beasley,363,24,[<Position.POWER_FORWARD: 'POWER FORWARD'>],107,0,27,11,Team.HOUSTON_ROCKETS,255,49,20,16,29,69
297,2,belinma01,91,91,635,115,Marco Belinelli,1672,80,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],245,7,29,37,Team.SACRAMENTO_KINGS,696,138,68,127,10,107
14,0,bennean01,8,3,27,9,Anthony Bennett,84,4,[<Position.POWER_FORWARD: 'POWER FORWARD'>],8,0,22,5,Team.TORONTO_RAPTORS,28,10,19,0,6,17
310,26,beverpa01,234,124,594,60,Patrick Beverley,2041,91,[<Position.POINT_GUARD: 'POINT GUARD'>],258,63,27,94,Team.HOUSTON_ROCKETS,700,88,71,239,73,177
1,133,biyombi01,225,0,288,142,Bismack Biyombo,1808,71,[<Position.CENTER: 'CENTER'>],156,22,23,19,Team.TORONTO_RAPTORS,454,226,82,29,182,473
125,21,bjeline01,154,48,235,40,Nemanja Bjelica,1075,47,[<Position.POWER_FORWARD: 'POWER FORWARD'>],110,0,27,26,Team.MINNESOTA_TIMBERWOLVES,308,55,60,83,49,161
0,18,blackta01,78,0,104,19,Tarik Black,496,22,[<Position.CENTER: 'CENTER'>],57,0,24,14,Team.LOS_ANGELES_LAKERS,133,45,39,16,44,113
1,2,blairde01,53,0,68,5,DeJuan Blair,218,15,[<Position.CENTER: 'CENTER'>],28,0,26,8,Team.WASHINGTON_WIZARDS,61,13,29,11,20,37
151,5,blakest01,70,52,240,16,Steve Blake,986,81,[<Position.POINT_GUARD: 'POINT GUARD'>],93,2,35,24,Team.DETROIT_PISTONS,254,20,58,200,9,80
129,19,bledser01,75,48,492,138,Eric Bledsoe,1059,110,[<Position.POINT_GUARD: 'POINT GUARD'>],223,31,26,63,Team.PHOENIX_SUNS,632,172,31,190,18,107
338,5,bogdabo02,119,129,749,110,Bojan Bogdanović,2115,115,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],324,39,26,29,Team.BROOKLYN_NETS,887,132,79,99,36,219
1,114,bogutan01,221,1,279,24,Andrew Bogut,1451,83,[<Position.CENTER: 'CENTER'>],175,66,31,33,Team.GOLDEN_STATE_WARRIORS,375,50,70,162,121,371
34,1,bonnema01,16,15,57,3,Matt Bonner,206,3,[<Position.CENTER: 'CENTER'>],29,2,35,6,Team.SAN_ANTONIO_SPURS,76,4,30,9,3,24
289,20,bookede01,225,99,867,215,Devin Booker,2108,160,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],367,51,19,44,Team.PHOENIX_SUNS,1048,256,76,200,27,160
41,41,booketr01,169,12,388,71,Trevor Booker,1632,81,[<Position.POWER_FORWARD: 'POWER FORWARD'>],190,2,28,59,Team.UTAH_JAZZ,463,106,79,84,166,286
222,34,boshch01,101,81,767,213,Chris Bosh,1778,78,[<Position.POWER_FORWARD: 'POWER FORWARD'>],358,53,31,36,Team.MIAMI_HEAT,1010,268,53,128,48,342
407,19,bradlav01,164,147,1019,96,Avery Bradley,2536,109,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],456,72,25,117,Team.BOSTON_CELTICS,1155,123,76,158,48,172
