attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
4,1,ackeral01,0,0,11,1,Alex Acker,20,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4,0,26,2,Team.DETROIT_PISTONS,9,2,7,1,0,2
16,3,ackeral01,9,7,65,4,Alex Acker,179,7,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],26,0,26,3,Team.LOS_ANGELES_CLIPPERS,63,8,18,11,8,14
0,1,adamsha01,4,0,13,3,Hassan Adams,52,4,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4,0,24,1,Team.TORONTO_RAPTORS,11,6,12,1,1,6
107,13,afflaar01,144,43,300,58,Arron Afflalo,1234,43,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],131,8,23,28,Team.DETROIT_PISTONS,363,71,74,44,30,104
6,2,agerma01,17,0,43,4,Maurice Ager,97,4,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],15,0,24,1,Team.NEW_JERSEY_NETS,34,8,20,3,3,7
4,0,ahearbl01,3,2,6,2,Blake Ahearn,19,1,[<Position.POINT_GUARD: 'POINT GUARD'>],2,0,24,1,Team.SAN_ANTONIO_SPURS,8,2,3,2,0,1
2,6,ajincal01,34,0,69,20,Alexis Ajinça,182,12,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25,4,20,7,Team.CHARLOTTE_BOBCATS,70,28,31,3,9,21
28,77,aldrila01,207,7,1243,261,LaMarcus Aldridge,3004,121,[<Position.POWER_FORWARD: 'POWER FORWARD'>],601,81,23,77,Team.PORTLAND_TRAIL_BLAZERS,1470,334,81,157,234,371
46,29,alexajo01,107,16,245,58,Joe Alexander,716,52,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],102,0,22,15,Team.MILWAUKEE_BUCKS,278,83,59,42,44,71
1,12,allenma01,89,0,170,10,Malik Allen,579,20,[<Position.POWER_FORWARD: 'POWER FORWARD'>],73,3,30,7,Team.MILWAUKEE_BUCKS,156,21,49,35,35,68
486,13,allenra02,157,199,1040,237,Ray Allen*,2876,134,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],499,79,33,69,Team.BOSTON_CELTICS,1434,249,79,218,66,212
27,23,allento01,98,6,284,79,Tony Allen,887,77,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],137,2,27,54,Team.BOSTON_CELTICS,359,109,46,66,22,82
17,4,almonmo01,31,5,81,21,Morris Almond,255,16,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],33,1,23,4,Team.UTAH_JAZZ,92,26,25,7,9,27
230,7,alstora01,72,80,522,86,Rafer Alston,1591,88,[<Position.POINT_GUARD: 'POINT GUARD'>],193,48,32,57,Team.HOUSTON_ROCKETS,552,109,48,258,25,119
101,3,alstora01,63,32,298,70,Rafer Alston,856,52,[<Position.POINT_GUARD: 'POINT GUARD'>],123,28,32,51,Team.ORLANDO_MAGIC,348,99,29,148,8,75
1,65,amundlo01,154,0,250,53,Lou Amundson,1044,56,[<Position.POWER_FORWARD: 'POWER FORWARD'>],134,0,26,32,Team.PHOENIX_SUNS,321,120,76,28,128,142
10,175,anderch01,174,2,292,130,Chris Andersen,1460,69,[<Position.CENTER: 'CENTER'>],160,1,30,41,Team.DENVER_NUGGETS,452,181,71,31,163,279
189,20,anderry01,157,69,407,98,Ryan Anderson,1312,63,[<Position.POWER_FORWARD: 'POWER FORWARD'>],160,30,20,44,Team.NEW_JERSEY_NETS,487,116,66,52,104,207
170,24,anthoca01,195,63,1207,371,Carmelo Anthony,2277,199,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],535,66,24,75,Team.DENVER_NUGGETS,1504,468,66,222,106,344
0,93,anthojo01,139,0,118,30,Joel Anthony,1048,41,[<Position.CENTER: 'CENTER'>],57,28,26,20,Team.MIAMI_HEAT,144,46,65,27,89,108
7,1,arenagi01,4,2,23,12,Gilbert Arenas,63,1,[<Position.POINT_GUARD: 'POINT GUARD'>],6,2,27,0,Team.WASHINGTON_WIZARDS,26,16,2,20,1,8
191,24,arizatr01,166,61,596,120,Trevor Ariza,1999,87,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],274,20,23,137,Team.LOS_ANGELES_LAKERS,729,169,82,145,111,241
2,45,armsthi01,181,0,246,62,Hilton Armstrong,1092,80,[<Position.CENTER: 'CENTER'>],138,29,24,26,Team.NEW_ORLEANS_HORNETS,338,98,70,29,81,114
2,52,arthuda01,206,0,436,40,Darrell Arthur,1464,47,[<Position.POWER_FORWARD: 'POWER FORWARD'>],191,64,20,52,Team.MEMPHIS_GRIZZLIES,422,60,76,43,108,238
17,1,atkinch01,5,5,27,4,Chucky Atkins,115,10,[<Position.POINT_GUARD: 'POINT GUARD'>],9,0,34,2,Team.DENVER_NUGGETS,27,4,14,28,0,6
40,1,atkinch01,22,10,86,11,Chucky Atkins,297,13,[<Position.POINT_GUARD: 'POINT GUARD'>],25,0,34,8,Team.OKLAHOMA_CITY_THUNDER,71,12,19,31,5,13
246,2,augusdj01,140,108,621,208,D.J. Augustin,1908,119,[<Position.POINT_GUARD: 'POINT GUARD'>],267,12,21,42,Team.CHARLOTTE_BOBCATS,850,233,72,250,17,116
210,50,azubuke01,183,94,845,185,Kelenna Azubuike,2375,95,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],392,51,25,57,Team.GOLDEN_STATE_WARRIORS,1063,229,74,117,112,258
7,23,balkmre01,98,2,197,42,Renaldo Balkman,780,35,[<Position.POWER_FORWARD: 'POWER FORWARD'>],110,10,24,47,Team.DENVER_NUGGETS,264,65,53,34,86,117
14,2,banksma01,21,2,39,10,Marcus Banks,166,11,[<Position.POINT_GUARD: 'POINT GUARD'>],15,0,27,10,Team.MIAMI_HEAT,42,15,16,22,0,15
5,0,banksma01,5,1,18,1,Marcus Banks,40,3,[<Position.POINT_GUARD: 'POINT GUARD'>],6,0,27,1,Team.TORONTO_RAPTORS,14,3,6,6,1,2
240,7,barbole01,115,90,759,171,Leandro Barbosa,1705,93,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],366,11,26,82,Team.PHOENIX_SUNS,993,194,70,162,34,147
154,5,bareajo01,121,55,557,70,J.J. Barea,1600,105,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],246,15,24,37,Team.DALLAS_MAVERICKS,617,93,79,269,36,141
291,97,bargnan01,242,119,958,221,Andrea Bargnani,2453,135,[<Position.POWER_FORWARD: 'POWER FORWARD'>],431,59,23,34,Team.TORONTO_RAPTORS,1202,266,78,94,70,346
341,26,barnema02,209,117,674,101,Matt Barnes,2082,130,[<Position.POWER_FORWARD: 'POWER FORWARD'>],285,40,28,52,Team.PHOENIX_SUNS,788,136,77,212,79,342
131,3,barrybr01,45,49,172,19,Brent Barry,857,48,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],70,1,37,24,Team.HOUSTON_ROCKETS,208,20,56,78,17,77
6,55,bassbr01,140,0,508,182,Brandon Bass,1574,86,[<Position.CENTER: 'CENTER'>],252,0,23,27,Team.DALLAS_MAVERICKS,686,210,81,43,129,238
1,10,bastoma01,39,0,46,17,Maceo Baston,217,12,[<Position.POWER_FORWARD: 'POWER FORWARD'>],25,0,33,6,Team.INDIANA_PACERS,67,27,27,7,22,30
9,25,battito01,112,2,323,54,Tony Battie,1202,46,[<Position.POWER_FORWARD: 'POWER FORWARD'>],158,3,32,26,Team.ORLANDO_MAGIC,372,82,77,31,92,186
237,54,battish01,114,91,354,55,Shane Battier,2031,49,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],145,59,30,48,Team.HOUSTON_ROCKETS,436,67,60,137,52,233
168,40,batumni01,139,62,361,42,Nicolas Batum,1454,50,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],161,76,20,50,Team.PORTLAND_TRAIL_BLAZERS,426,52,79,74,84,136
27,2,bayleje01,81,7,189,83,Jerryd Bayless,655,56,[<Position.POINT_GUARD: 'POINT GUARD'>],69,0,20,16,Team.PORTLAND_TRAIL_BLAZERS,228,103,53,78,8,49
81,37,beaslmi01,184,33,957,186,Michael Beasley,2009,121,[<Position.POWER_FORWARD: 'POWER FORWARD'>],452,19,20,41,Team.MIAMI_HEAT,1123,241,81,83,110,329
131,1,belinma01,73,52,317,40,Marco Belinelli,882,59,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],140,23,22,36,Team.GOLDEN_STATE_WARRIORS,372,52,42,88,10,61
240,7,bellch01,138,87,524,66,Charlie Bell,1783,76,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],217,23,29,50,Team.MILWAUKEE_BUCKS,587,80,70,151,32,102
94,2,bellra01,57,44,177,16,Raja Bell,712,18,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],76,22,32,13,Team.PHOENIX_SUNS,212,21,22,29,8,56
177,6,bellra01,109,70,507,71,Raja Bell,1603,68,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],223,44,32,37,Team.CHARLOTTE_BOBCATS,587,81,45,113,33,146
428,11,bibbymi01,145,167,1005,135,Mike Bibby,2740,128,[<Position.POINT_GUARD: 'POINT GUARD'>],437,79,30,98,Team.ATLANTA_HAWKS,1176,171,79,392,38,240
1,96,biedran01,236,0,533,119,Andris Biedriņš,1863,110,[<Position.CENTER: 'CENTER'>],308,58,22,63,Team.GOLDEN_STATE_WARRIORS,735,216,62,121,223,470
7,1,billuch01,3,2,21,9,Chauncey Billups,70,4,[<Position.POINT_GUARD: 'POINT GUARD'>],7,2,32,3,Team.DETROIT_PISTONS,25,10,2,15,1,9
390,17,billuch01,158,160,959,409,Chauncey Billups,2719,173,[<Position.POINT_GUARD: 'POINT GUARD'>],403,77,32,90,Team.DENVER_NUGGETS,1375,448,77,491,31,198
328,4,blakest01,126,140,647,63,Steve Blake,2188,108,[<Position.POINT_GUARD: 'POINT GUARD'>],277,69,28,69,Team.PORTLAND_TRAIL_BLAZERS,757,75,69,348,28,145
