attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
2,15,acyqu01,53,1,75,31,Quincy Acy,342,17,[<Position.POWER_FORWARD: 'POWER FORWARD'>],42,0,22,13,Team.TORONTO_RAPTORS,116,38,29,11,30,47
2,27,adrieje01,80,0,168,65,Jeff Adrien,713,32,[<Position.POWER_FORWARD: 'POWER FORWARD'>],72,5,26,18,Team.CHARLOTTE_BOBCATS,209,100,52,36,68,128
240,11,afflaar01,137,72,905,191,Arron Afflalo,2307,138,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],397,64,27,40,Team.ORLANDO_MAGIC,1057,223,64,206,29,210
2,0,akognjo01,3,1,4,0,Josh Akognon,9,0,[<Position.POINT_GUARD: 'POINT GUARD'>],2,0,26,0,Team.DALLAS_MAVERICKS,5,0,3,1,0,1
0,9,aldrico01,41,0,43,4,Cole Aldrich,213,14,[<Position.CENTER: 'CENTER'>],23,0,24,3,Team.HOUSTON_ROCKETS,50,9,30,6,12,45
0,14,aldrico01,19,0,37,8,Cole Aldrich,175,9,[<Position.CENTER: 'CENTER'>],21,0,24,2,Team.SACRAMENTO_KINGS,50,11,15,3,18,45
14,91,aldrila01,187,2,1318,282,LaMarcus Aldridge,2790,143,[<Position.POWER_FORWARD: 'POWER FORWARD'>],638,74,27,62,Team.PORTLAND_TRAIL_BLAZERS,1560,348,74,192,175,495
1,55,allenla01,180,0,454,43,Lavoy Allen,1669,55,[<Position.CENTER: 'CENTER'>],206,37,23,24,Team.PHILADELPHIA_76ERS,455,60,79,73,159,236
332,15,allenra02,129,139,651,140,Ray Allen*,2035,103,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],292,0,37,67,Team.MIAMI_HEAT,863,158,79,135,40,177
24,44,allento01,211,3,638,134,Tony Allen,2109,94,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],284,79,31,119,Team.MEMPHIS_GRIZZLIES,705,187,79,98,121,242
19,51,aminual01,153,4,474,101,Al-Farouq Aminu,2066,116,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],225,71,22,92,Team.NEW_ORLEANS_HORNETS,555,137,76,103,139,446
0,6,amundlo01,26,0,38,4,Lou Amundson,161,11,[<Position.POWER_FORWARD: 'POWER FORWARD'>],14,0,30,7,Team.MINNESOTA_TIMBERWOLVES,32,20,20,3,23,24
0,0,amundlo01,0,0,1,0,Lou Amundson,2,0,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0,0,30,0,Team.CHICAGO_BULLS,0,0,1,0,1,0
0,6,amundlo01,27,0,42,8,Lou Amundson,209,8,[<Position.POWER_FORWARD: 'POWER FORWARD'>],18,0,30,9,Team.NEW_ORLEANS_HORNETS,44,16,18,8,24,34
3,44,anderch01,89,2,123,63,Chris Andersen,624,24,[<Position.CENTER: 'CENTER'>],71,0,34,16,Team.MIAMI_HEAT,207,93,42,17,57,115
285,7,anderal01,131,95,616,126,Alan Anderson,1495,80,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],236,2,30,48,Team.TORONTO_RAPTORS,693,147,65,103,34,114
11,2,anderja01,7,5,25,7,James Anderson,94,7,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],11,0,23,3,Team.SAN_ANTONIO_SPURS,34,9,10,9,3,11
49,3,anderja01,18,16,101,17,James Anderson,307,18,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],41,2,23,12,Team.HOUSTON_ROCKETS,115,19,29,33,15,43
557,31,anderry01,179,213,1115,152,Ryan Anderson,2503,97,[<Position.POWER_FORWARD: 'POWER FORWARD'>],472,22,24,42,Team.NEW_ORLEANS_HORNETS,1309,180,81,97,191,328
414,32,anthoca01,205,157,1489,425,Carmelo Anthony,2482,175,[<Position.POWER_FORWARD: 'POWER FORWARD'>],669,67,28,52,Team.NEW_YORK_KNICKS,1920,512,67,171,134,326
0,42,anthojo01,49,0,68,17,Joel Anthony,566,22,[<Position.CENTER: 'CENTER'>],35,3,30,13,Team.MIAMI_HEAT,87,28,62,13,45,70
209,20,arizatr01,72,76,451,78,Trevor Ariza,1471,84,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],188,15,27,72,Team.WASHINGTON_WIZARDS,530,95,56,113,44,222
18,33,arthuda01,126,5,359,33,Darrell Arthur,970,43,[<Position.POWER_FORWARD: 'POWER FORWARD'>],162,3,24,24,Team.MEMPHIS_GRIZZLIES,362,46,59,33,68,101
1,87,asikom01,223,0,614,168,Ömer Aşık,2464,173,[<Position.CENTER: 'CENTER'>],332,82,26,46,Team.HOUSTON_ROCKETS,832,299,82,75,275,681
