attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
207,30,barnema02,185,66,557,108,Matt Barnes,2097,112,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],271,58,29,59,Team.ORLANDO_MAGIC,716,146,81,134,106,339
0,4,barroea01,24,0,68,22,Earl Barron,232,11,[<Position.CENTER: 'CENTER'>],30,6,28,4,Team.NEW_YORK_KNICKS,82,29,7,8,31,46
0,27,bassbr01,69,0,233,52,Brandon Bass,648,31,[<Position.POWER_FORWARD: 'POWER FORWARD'>],119,3,24,12,Team.ORLANDO_MAGIC,290,63,50,19,54,73
4,2,battito01,19,1,40,7,Tony Battie,134,3,[<Position.CENTER: 'CENTER'>],14,0,33,4,Team.NEW_JERSEY_NETS,36,10,15,3,4,19
279,76,battish01,139,101,447,77,Shane Battier,2168,64,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],178,62,31,53,Team.HOUSTON_ROCKETS,534,106,67,164,74,238
132,25,batumni01,83,54,268,43,Nicolas Batum,918,27,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],139,25,21,24,Team.PORTLAND_TRAIL_BLAZERS,375,51,37,44,32,109
92,5,bayleje01,152,29,483,201,Jerryd Bayless,1304,94,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],200,11,21,26,Team.PORTLAND_TRAIL_BLAZERS,630,242,74,172,18,102
102,49,beaslmi01,221,28,1040,192,Michael Beasley,2328,131,[<Position.POWER_FORWARD: 'POWER FORWARD'>],468,78,21,80,Team.MIAMI_HEAT,1156,240,78,100,123,375
110,12,beaubro01,84,45,299,42,Rodrigue Beaubois,700,54,[<Position.POINT_GUARD: 'POINT GUARD'>],155,16,21,29,Team.DALLAS_MAVERICKS,397,52,56,74,12,66
158,5,belinma01,80,60,379,101,Marco Belinelli,1121,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],154,1,23,42,Team.TORONTO_RAPTORS,469,121,66,89,14,81
200,12,bellch01,136,73,443,48,Charlie Bell,1611,54,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],169,39,30,39,Team.MILWAUKEE_BUCKS,459,67,71,104,31,101
24,2,bellra01,13,9,55,3,Raja Bell,157,5,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,5,33,4,Team.CHARLOTTE_BOBCATS,60,3,5,10,5,16
3,0,bellra01,2,3,6,0,Raja Bell,23,0,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],4,0,33,0,Team.GOLDEN_STATE_WARRIORS,11,0,1,3,0,2
39,17,bendejo01,33,14,100,24,Jonathan Bender,292,28,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40,1,29,2,Team.NEW_YORK_KNICKS,118,26,25,16,15,37
324,3,bibbymi01,157,126,644,68,Mike Bibby,2195,90,[<Position.POINT_GUARD: 'POINT GUARD'>],268,80,31,67,Team.ATLANTA_HAWKS,730,79,80,310,20,164
0,44,biedran01,117,0,137,4,Andris Biedriņš,763,32,[<Position.CENTER: 'CENTER'>],81,29,23,20,Team.GOLDEN_STATE_WARRIORS,166,25,33,57,63,196
407,9,billuch01,153,157,962,466,Chauncey Billups,2490,177,[<Position.POINT_GUARD: 'POINT GUARD'>],402,73,33,82,Team.DENVER_NUGGETS,1427,512,73,409,25,203
2,39,blairde01,224,0,495,88,DeJuan Blair,1494,112,[<Position.POWER_FORWARD: 'POWER FORWARD'>],275,23,20,50,Team.SAN_ANTONIO_SPURS,638,161,82,65,200,326
207,2,blakest01,84,78,355,24,Steve Blake,1397,65,[<Position.POINT_GUARD: 'POINT GUARD'>],143,28,29,37,Team.PORTLAND_TRAIL_BLAZERS,388,32,51,203,15,103
87,4,blakest01,39,38,167,12,Steve Blake,762,63,[<Position.POINT_GUARD: 'POINT GUARD'>],74,10,29,21,Team.LOS_ANGELES_CLIPPERS,198,16,29,177,6,63
44,71,blatcan01,218,13,999,174,Andray Blatche,2256,182,[<Position.POWER_FORWARD: 'POWER FORWARD'>],478,36,23,85,Team.WASHINGTON_WIZARDS,1143,234,81,170,158,351
196,12,boganke01,156,70,298,37,Keith Bogans,1559,53,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],120,50,29,45,Team.SAN_ANTONIO_SPURS,347,50,79,95,25,151
2,175,bogutan01,222,0,910,149,Andrew Bogut,2229,131,[<Position.CENTER: 'CENTER'>],473,69,25,39,Team.MILWAUKEE_BUCKS,1095,237,69,127,208,493
231,24,bonnema01,109,90,372,35,Matt Bonner,1161,39,[<Position.POWER_FORWARD: 'POWER FORWARD'>],166,8,29,30,Team.SAN_ANTONIO_SPURS,457,48,65,68,52,162
0,48,boonejo01,111,0,223,19,Josh Boone,1045,37,[<Position.POWER_FORWARD: 'POWER FORWARD'>],117,28,25,30,Team.NEW_JERSEY_NETS,253,58,63,29,124,191
0,36,boozeca01,270,0,1098,285,Carlos Boozer,2673,212,[<Position.POWER_FORWARD: 'POWER FORWARD'>],617,78,28,84,Team.UTAH_JAZZ,1519,384,78,247,181,693
22,68,boshch01,170,8,1158,470,Chris Bosh,2526,169,[<Position.CENTER: 'CENTER'>],600,70,25,43,Team.TORONTO_RAPTORS,1678,590,70,166,205,554
0,0,bowenry01,2,0,1,2,Ryan Bowen,8,0,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],1,0,34,1,Team.OKLAHOMA_CITY_THUNDER,4,2,1,0,1,1
60,3,boykiea01,48,19,403,77,Earl Boykins,1117,69,[<Position.POINT_GUARD: 'POINT GUARD'>],172,1,33,24,Team.WASHINGTON_WIZARDS,440,89,67,171,17,58
1,80,brandel01,232,0,858,172,Elton Brand,2297,131,[<Position.POWER_FORWARD: 'POWER FORWARD'>],412,57,30,82,Team.PHILADELPHIA_76ERS,996,233,76,109,179,282
237,29,breweco01,224,82,949,166,Corey Brewer,2482,164,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],409,82,23,117,Team.MINNESOTA_TIMBERWOLVES,1066,256,82,193,70,209
31,15,brewero02,80,8,416,81,Ronnie Brewer,1662,51,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],206,53,24,85,Team.UTAH_JAZZ,501,128,53,151,44,136
0,0,brewero02,0,0,13,4,Ronnie Brewer,80,2,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],3,0,24,6,Team.MEMPHIS_GRIZZLIES,10,5,5,3,1,6
0,1,brezepr01,9,0,13,1,Primož Brezec,36,0,[<Position.CENTER: 'CENTER'>],2,0,30,1,Team.PHILADELPHIA_76ERS,5,2,7,0,6,6
