attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
5,3,acyqu01,8,2,14,5,Quincy Acy,61,2,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],6,0,23,4,Team.TORONTO_RAPTORS,19,8,7,4,5,10
10,23,acyqu01,114,2,127,30,Quincy Acy,786,28,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],60,0,23,19,Team.SACRAMENTO_KINGS,152,45,56,24,67,134
0,57,adamsst01,203,0,185,79,Steven Adams,1197,71,[<Position.CENTER: 'CENTER'>],93,20,20,40,Team.OKLAHOMA_CITY_THUNDER,265,136,81,43,142,190
0,15,adrieje01,35,0,40,13,Jeff Adrien,256,8,[<Position.POWER_FORWARD: 'POWER FORWARD'>],22,0,27,7,Team.CHARLOTTE_BOBCATS,57,25,25,7,33,55
0,21,adrieje01,73,0,235,63,Jeff Adrien,705,31,[<Position.POWER_FORWARD: 'POWER FORWARD'>],121,12,27,17,Team.MILWAUKEE_BUCKS,305,94,28,31,69,149
300,3,afflaar01,136,128,1011,274,Arron Afflalo,2552,146,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],464,73,28,35,Team.ORLANDO_MAGIC,1330,336,73,248,32,230
1,46,ajincal01,187,0,249,56,Alexis Ajinça,951,63,[<Position.CENTER: 'CENTER'>],136,30,25,23,Team.NEW_ORLEANS_PELICANS,328,67,56,40,94,183
0,30,aldrico01,40,0,61,26,Cole Aldrich,330,18,[<Position.CENTER: 'CENTER'>],33,2,25,8,Team.NEW_YORK_KNICKS,92,30,46,14,37,92
15,68,aldrila01,147,3,1423,296,LaMarcus Aldridge,2498,123,[<Position.POWER_FORWARD: 'POWER FORWARD'>],652,69,28,63,Team.PORTLAND_TRAIL_BLAZERS,1603,360,69,178,166,599
13,27,allenla01,115,2,266,27,Lavoy Allen,960,40,[<Position.POWER_FORWARD: 'POWER FORWARD'>],117,2,24,22,Team.PHILADELPHIA_76ERS,263,40,51,65,106,171
