attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
0,5,adrieje01,28,0,54,11,Jeff Adrien,196,9,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,0,24,4,Team.GOLDEN_STATE_WARRIORS,57,19,23,10,23,35
248,31,afflaar01,153,105,627,138,Arron Afflalo,2324,71,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],312,69,25,34,Team.DENVER_NUGGETS,867,163,69,168,45,206
4,0,agerma01,4,3,11,0,Maurice Ager,29,4,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],6,0,26,1,Team.MINNESOTA_TIMBERWOLVES,15,0,4,1,0,2
7,5,ajincal01,13,3,32,2,Alexis Ajinça,75,1,[<Position.CENTER: 'CENTER'>],12,2,22,3,Team.DALLAS_MAVERICKS,29,3,10,2,5,12
27,14,ajincal01,60,9,101,11,Alexis Ajinça,265,17,[<Position.CENTER: 'CENTER'>],47,0,22,8,Team.TORONTO_RAPTORS,114,15,24,8,12,49
0,2,alabiso01,5,0,15,0,Solomon Alabi,59,3,[<Position.CENTER: 'CENTER'>],3,0,22,2,Team.TORONTO_RAPTORS,6,2,12,2,7,7
0,7,aldrico01,30,0,15,2,Cole Aldrich,142,8,[<Position.CENTER: 'CENTER'>],8,0,22,5,Team.OKLAHOMA_CITY_THUNDER,18,4,18,4,13,22
23,94,aldrila01,220,4,1415,351,LaMarcus Aldridge,3211,153,[<Position.POWER_FORWARD: 'POWER FORWARD'>],707,81,25,82,Team.PORTLAND_TRAIL_BLAZERS,1769,444,81,170,278,431
0,4,allenma01,30,0,31,1,Malik Allen,178,3,[<Position.POWER_FORWARD: 'POWER FORWARD'>],11,0,32,1,Team.ORLANDO_MAGIC,23,2,18,4,12,20
378,16,allenra02,147,168,978,193,Ray Allen*,2890,117,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],480,80,35,77,Team.BOSTON_CELTICS,1321,219,80,219,51,223
23,44,allento01,161,4,492,137,Tony Allen,1494,86,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],251,31,29,129,Team.MEMPHIS_GRIZZLIES,643,182,72,104,70,123
143,25,aminual01,121,45,406,92,Al-Farouq Aminu,1452,103,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],160,14,20,59,Team.LOS_ANGELES_CLIPPERS,457,119,81,60,75,192
0,33,amundlo01,87,0,183,34,Lou Amundson,691,24,[<Position.POWER_FORWARD: 'POWER FORWARD'>],83,7,28,14,Team.GOLDEN_STATE_WARRIORS,200,87,46,17,81,104
1,58,anderch01,79,0,137,86,Chris Andersen,732,25,[<Position.CENTER: 'CENTER'>],82,0,32,23,Team.DENVER_NUGGETS,250,135,45,20,75,144
10,3,anderda03,11,3,47,7,David Andersen,150,8,[<Position.POWER_FORWARD: 'POWER FORWARD'>],23,0,30,3,Team.TORONTO_RAPTORS,56,7,11,7,8,26
