attempted_three_point_field_goals,blocks,slug,personal_fouls,made_three_point_field_goals,attempted_field_goals,made_free_throws,name,minutes_played,turnovers,positions,made_field_goals,games_started,age,steals,team,points,attempted_free_throws,games_played,assists,offensive_rebounds,defensive_rebounds
60,22,acyqu01,147,18,331,76,Quincy Acy,1287,60,[<Position.POWER_FORWARD: 'POWER FORWARD'>],152,22,24,27,Team.NEW_YORK_KNICKS,398,97,68,68,79,222
25,7,adamsjo01,24,10,86,14,Jordan Adams,248,14,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],35,0,20,16,Team.MEMPHIS_GRIZZLIES,94,23,30,16,9,19
2,86,adamsst01,222,0,399,103,Steven Adams,1771,99,[<Position.CENTER: 'CENTER'>],217,67,21,38,Team.OKLAHOMA_CITY_THUNDER,537,205,70,66,199,324
0,9,adrieje01,30,0,44,22,Jeff Adrien,215,9,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,0,28,4,Team.MINNESOTA_TIMBERWOLVES,60,38,17,15,23,54
243,5,afflaar01,108,82,657,127,Arron Afflalo,1750,83,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],281,53,29,32,Team.DENVER_NUGGETS,771,151,53,101,21,159
90,2,afflaar01,59,36,227,40,Arron Afflalo,752,33,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],94,19,29,9,Team.PORTLAND_TRAIL_BLAZERS,264,47,25,28,6,61
0,51,ajincal01,151,0,329,81,Alexis Ajinça,957,69,[<Position.CENTER: 'CENTER'>],181,8,26,21,Team.NEW_ORLEANS_PELICANS,443,99,68,47,104,211
5,16,aldemfu01,96,0,78,13,Furkan Aldemir,540,17,[<Position.POWER_FORWARD: 'POWER FORWARD'>],40,9,23,17,Team.PHILADELPHIA_76ERS,93,27,41,28,78,98
0,65,aldrico01,122,0,301,50,Cole Aldrich,976,59,[<Position.CENTER: 'CENTER'>],144,16,26,37,Team.NEW_YORK_KNICKS,338,64,61,75,101,237
105,68,aldrila01,125,37,1415,306,LaMarcus Aldridge,2512,122,[<Position.POWER_FORWARD: 'POWER FORWARD'>],659,71,29,48,Team.PORTLAND_TRAIL_BLAZERS,1661,362,71,124,177,549
0,42,allenla01,102,0,299,33,Lavoy Allen,1070,40,[<Position.CENTER: 'CENTER'>],141,0,25,15,Team.INDIANA_PACERS,315,47,63,73,123,200
29,30,allento01,166,10,455,79,Tony Allen,1648,86,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],225,41,33,129,Team.MEMPHIS_GRIZZLIES,539,126,63,86,103,177
124,62,aminual01,137,34,357,84,Al-Farouq Aminu,1366,55,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],147,3,24,70,Team.DALLAS_MAVERICKS,412,118,74,59,114,228
0,0,amundlo01,11,0,12,3,Lou Amundson,79,5,[<Position.POWER_FORWARD: 'POWER FORWARD'>],4,0,32,1,Team.CLEVELAND_CAVALIERS,11,5,12,5,5,15
1,52,amundlo01,115,0,243,38,Lou Amundson,858,57,[<Position.POWER_FORWARD: 'POWER FORWARD'>],105,35,32,21,Team.NEW_YORK_KNICKS,248,82,41,65,89,159
13,61,anderch01,88,4,207,76,Chris Andersen,1132,40,[<Position.CENTER: 'CENTER'>],120,20,36,26,Team.MIAMI_HEAT,320,114,60,43,76,223
210,5,anderal01,148,73,440,82,Alan Anderson,1744,60,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],195,19,32,56,Team.BROOKLYN_NETS,545,101,74,83,31,173
11,7,anderky01,28,3,89,9,Kyle Anderson,358,10,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],31,8,21,15,Team.SAN_ANTONIO_SPURS,74,14,33,28,5,67
359,20,anderry01,113,122,729,129,Ryan Anderson,1675,62,[<Position.POWER_FORWARD: 'POWER FORWARD'>],291,5,26,33,Team.NEW_ORLEANS_PELICANS,833,151,61,55,108,187
44,85,antetgi01,254,7,780,257,Giannis Antetokounmpo,2541,173,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],383,71,20,73,Team.MILWAUKEE_BUCKS,1030,347,81,207,100,442
179,17,anthoca01,87,61,806,189,Carmelo Anthony,1428,89,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],358,40,30,40,Team.NEW_YORK_KNICKS,966,237,40,122,72,192
0,49,anthojo01,55,0,62,15,Joel Anthony,406,12,[<Position.CENTER: 'CENTER'>],36,0,32,12,Team.DETROIT_PISTONS,87,22,49,5,32,61
173,14,anticpe01,132,52,296,88,Pero Antić,1037,49,[<Position.CENTER: 'CENTER'>],108,3,32,18,Team.ATLANTA_HAWKS,356,123,63,49,58,131
555,17,arizatr01,186,194,910,122,Trevor Ariza,2930,141,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],366,82,29,152,Team.HOUSTON_ROCKETS,1048,143,82,209,77,382
110,26,arthuda01,146,26,384,46,Darrell Arthur,988,47,[<Position.POWER_FORWARD: 'POWER FORWARD'>],155,4,26,48,Team.DENVER_NUGGETS,382,59,58,57,53,118
0,54,asikom01,144,0,412,131,Ömer Aşık,1982,95,[<Position.CENTER: 'CENTER'>],213,76,28,29,Team.NEW_ORLEANS_PELICANS,557,225,76,72,244,504
150,2,augusdj01,61,49,461,147,D.J. Augustin,1287,110,[<Position.POINT_GUARD: 'POINT GUARD'>],189,13,27,33,Team.DETROIT_PISTONS,574,169,54,265,13,87
96,1,augusdj01,32,34,186,31,D.J. Augustin,677,35,[<Position.POINT_GUARD: 'POINT GUARD'>],69,1,27,16,Team.OKLAHOMA_CITY_THUNDER,203,36,28,88,7,54
0,8,pendeje02,60,0,95,27,Jeff Ayres,383,26,[<Position.POWER_FORWARD: 'POWER FORWARD'>],55,0,27,8,Team.SAN_ANTONIO_SPURS,137,36,51,14,37,80
115,11,babbilu01,63,59,192,13,Luke Babbitt,830,26,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],92,19,25,17,Team.NEW_ORLEANS_PELICANS,256,19,63,24,12,99
0,1,bairsca01,8,0,14,4,Cameron Bairstow,64,3,[<Position.POWER_FORWARD: 'POWER FORWARD'>],3,1,24,2,Team.CHICAGO_BULLS,10,5,18,1,6,2
112,8,barbole01,87,43,386,58,Leandro Barbosa,982,44,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],183,1,32,41,Team.GOLDEN_STATE_WARRIORS,467,74,66,99,23,68
167,1,bareajo01,104,54,536,76,J.J. Barea,1362,70,[<Position.POINT_GUARD: 'POINT GUARD'>],225,10,30,33,Team.DALLAS_MAVERICKS,580,94,77,263,23,111
41,27,bargnan01,53,15,361,87,Andrea Bargnani,785,42,[<Position.CENTER: 'CENTER'>],164,22,29,2,Team.NEW_YORK_KNICKS,430,107,29,46,32,95
215,19,barneha02,146,87,656,108,Harrison Barnes,2318,71,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],316,82,22,61,Team.GOLDEN_STATE_WARRIORS,827,150,82,116,117,336
376,50,barnema02,240,136,624,74,Matt Barnes,2271,87,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],277,74,34,67,Team.LOS_ANGELES_CLIPPERS,764,95,76,114,51,251
4,2,barroea01,26,2,39,6,Earl Barron,143,5,[<Position.CENTER: 'CENTER'>],12,1,33,4,Team.PHOENIX_SUNS,32,12,16,5,14,14
18,4,bartowi01,20,4,100,10,Will Barton,300,17,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],38,0,24,14,Team.PORTLAND_TRAIL_BLAZERS,90,15,30,27,3,31
67,15,bartowi01,50,19,253,64,Will Barton,683,44,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],112,0,24,34,Team.DENVER_NUGGETS,307,79,28,54,23,105
32,32,bassbr01,140,9,683,169,Brandon Bass,1929,83,[<Position.POWER_FORWARD: 'POWER FORWARD'>],344,43,29,41,Team.BOSTON_CELTICS,866,214,82,104,139,259
309,40,batumni01,106,100,600,84,Nicolas Batum,2380,132,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],240,71,26,78,Team.PORTLAND_TRAIL_BLAZERS,664,98,71,341,62,354
120,12,bayleje01,163,37,516,121,Jerryd Bayless,1717,133,[<Position.POINT_GUARD: 'POINT GUARD'>],220,4,26,59,Team.MILWAUKEE_BUCKS,598,137,77,233,22,189
4,22,baynear01,162,1,327,90,Aron Baynes,1122,65,[<Position.CENTER: 'CENTER'>],185,17,28,16,Team.SAN_ANTONIO_SPURS,461,104,70,35,109,209
132,33,bazemke01,127,48,331,60,Kent Bazemore,1324,73,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],141,10,25,52,Team.ATLANTA_HAWKS,390,100,75,78,21,201
259,18,bealbr01,136,106,851,130,Bradley Beal,2107,123,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],363,59,21,76,Team.WASHINGTON_WIZARDS,962,166,63,194,57,184
34,13,beaslmi01,66,8,212,20,Michael Beasley,505,37,[<Position.POWER_FORWARD: 'POWER FORWARD'>],92,1,26,15,Team.MIAMI_HEAT,212,26,24,32,12,77
230,3,belinma01,85,86,470,84,Marco Belinelli,1388,61,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],199,9,28,31,Team.SAN_ANTONIO_SPURS,568,99,62,94,26,131
0,0,benimje01,0,0,0,0,Jerrelle Benimon,3,1,[<Position.POWER_FORWARD: 'POWER FORWARD'>],0,0,23,0,Team.UTAH_JAZZ,0,0,2,0,1,2
23,16,bennean01,87,7,297,41,Anthony Bennett,894,36,[<Position.POWER_FORWARD: 'POWER FORWARD'>],125,3,21,27,Team.MINNESOTA_TIMBERWOLVES,298,64,57,48,52,164
323,23,beverpa01,182,115,532,45,Patrick Beverley,1727,83,[<Position.POINT_GUARD: 'POINT GUARD'>],204,55,26,59,Team.HOUSTON_ROCKETS,568,60,56,192,67,170
0,1,bhullsi01,0,0,2,0,Sim Bhullar,3,0,[<Position.CENTER: 'CENTER'>],1,0,22,0,Team.SACRAMENTO_KINGS,2,0,3,1,0,1
