Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
333,2013,NBA,2,36,SAC,Ray McCallum,22.021,G,us,Detroit Mercy,2014,2016,154,18.2,6,2,2.4,0.5,0.2,0.408,0.43,0.335,0.711,2.1,0.035
334,2012,NBA,2,33,CLE,Bernard James,27.148,C,us,Florida State,2013,2015,92,8.3,2.2,2.3,0.1,0.2,0.7,0.497,0.507,0,0.68,1.9,0.117
335,2012,NBA,2,58,MIN,Robbie Hummel,23.118,F,us,Purdue,2014,2015,98,14.3,3.9,2.7,0.5,0.3,0.1,0.418,0.469,0.343,0.867,1.9,0.066
336,2008,NBA,2,60,BOS,Semih Erden,21.339,C,tr,,2011,2012,69,13.4,3.8,2.8,0.4,0.4,0.4,0.546,0.546,,0.594,1.8,0.094
337,2014,NBA,2,58,SAS,Jordan McRae,23.096,G,us,Tennessee,2016,2020,117,13.6,6.8,1.8,1.4,0.4,0.3,0.424,0.45,0.367,0.777,1.8,0.054
338,2010,NBA,2,44,MIL,Jerome Jordan,23.274,C,jm,Tulsa,2012,2015,65,7.6,2.8,2,0.3,0.1,0.3,0.528,0.528,,0.852,1.7,0.168
339,2012,NBA,1,27,MIA,Arnett Moultrie,21.228,F,us,Mississippi State,2013,2014,59,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,,0.667,1.7,0.113
340,2012,NBA,1,28,OKC,Perry Jones,20.283,F,us,Baylor,2013,2015,143,11.7,3.4,1.8,0.4,0.3,0.2,0.42,0.466,0.293,0.66,1.7,0.048
341,2007,NBA,1,11,ATL,Acie Law,22.159,G,us,Texas A&M,2008,2011,188,12.7,3.9,1,1.6,0.4,0,0.413,0.452,0.235,0.778,1.6,0.032
342,2011,NBA,2,53,ORL,DeAndre Liggins,23.089,G,us,Kentucky,2012,2018,177,10.8,2,1.4,0.7,0.6,0.2,0.402,0.432,0.352,0.549,1.6,0.04
343,2008,NBA,1,28,MEM,Donté Greene,20.131,F,de,Syracuse,2009,2012,253,16.8,6.1,2.4,0.7,0.4,0.5,0.406,0.467,0.304,0.701,1.5,0.017
344,2008,NBA,2,38,CHA,Kyle Weaver,22.134,G,us,Washington State,2009,2011,73,18.9,5,2.2,1.6,0.8,0.5,0.441,0.497,0.353,0.736,1.5,0.051
345,2016,NBA,2,58,BOS,Abdel Nader,22.277,F,eg,Iowa State,2018,2020,148,12.2,4.1,1.7,0.5,0.3,0.2,0.41,0.476,0.336,0.711,1.5,0.039
346,2012,NBA,2,36,SAC,Orlando Johnson,23.115,G,us,UC Santa Barbara,2013,2016,103,10.8,3.2,1.7,0.7,0.2,0.1,0.358,0.398,0.311,0.727,1.4,0.059
347,2012,NBA,2,53,LAC,Furkan Aldemir,20.329,F-C,tr,,2015,2015,41,13.2,2.3,4.3,0.7,0.4,0.4,0.513,0.548,0,0.481,1.4,0.122
348,2008,NBA,2,52,MIA,Darnell Jackson,22.237,F,us,Kansas,2009,2011,138,7.5,2.2,1.5,0.2,0.2,0.1,0.449,0.463,0.235,0.644,1.3,0.059
349,2011,NBA,2,36,NJN,Jordan Williams,20.26,F,us,Maryland,2012,2012,43,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,,0.652,1.3,0.101
350,2012,NBA,2,31,CHA,Jeffery Taylor,23.042,F,se,Vanderbilt,2013,2015,132,19.4,6.1,2,0.8,0.5,0.2,0.409,0.458,0.319,0.665,1.3,0.024
351,2014,NBA,1,18,PHO,Tyler Ennis,19.311,G,ca,Syracuse,2015,2018,186,12.6,4.2,1.3,1.9,0.5,0.1,0.419,0.458,0.317,0.768,1.3,0.026
352,2014,NBA,1,20,TOR,Bruno Caboclo,18.283,F,br,,2015,2020,91,13.2,4.4,2.6,0.8,0.3,0.6,0.395,0.475,0.319,0.831,1.3,0.053
353,2014,NBA,1,21,OKC,Mitch McGary,22.025,F-C,us,Michigan,2015,2016,52,10.7,4.4,3.5,0.3,0.3,0.3,0.527,0.544,0,0.58,1.3,0.108
354,2014,NBA,2,32,PHI,K.J. McDaniels,21.142,G-F,us,Clemson,2015,2017,148,14.1,5.3,2.2,0.6,0.5,0.6,0.412,0.479,0.29,0.776,1.3,0.03
355,2013,NBA,1,29,OKC,Archie Goodwin,18.319,G,us,Kentucky,2014,2017,165,14.5,6.3,2,1.2,0.4,0.2,0.429,0.484,0.236,0.7,1.1,0.022
356,2014,NBA,2,44,MIN,Markel Brown,22.154,G,us,Oklahoma State,2015,2018,113,15.9,5.2,2.1,1.2,0.6,0.2,0.38,0.427,0.295,0.781,1.1,0.029
357,2016,NBA,1,16,BOS,Guerschon Yabusele,20.194,F,fr,,2018,2019,74,6.6,2.3,1.4,0.4,0.2,0.2,0.442,0.548,0.323,0.682,1.1,0.105
358,2010,NBA,1,29,ORL,Daniel Orton,19.327,C-F,us,Kentucky,2012,2014,51,10.6,2.8,2.5,0.5,0.4,0.5,0.485,0.49,0,0.597,1,0.093
359,2012,NBA,1,13,PHO,Kendall Marshall,20.319,G,us,UNC,2013,2016,160,19.3,5,1.6,4.9,0.7,0.1,0.399,0.422,0.37,0.611,1,0.015
360,2016,NBA,1,21,ATL,DeAndre' Bembry,21.36,F,us,Saint Joseph's,2017,2020,189,19.4,6.2,3.4,1.9,1,0.4,0.448,0.513,0.269,0.592,1,0.014
361,2007,NBA,2,38,PHI,Kyrylo Fesenko,20.191,C,ua,,2008,2012,135,8.2,2.3,2,0.3,0.1,0.4,0.496,0.5,0,0.41,0.9,0.038
362,2010,NBA,2,52,BOS,Luke Harangody,22.179,F,us,Notre Dame,2011,2012,70,12.4,3.6,2.8,0.5,0.3,0.3,0.376,0.44,0.241,0.737,0.9,0.048
363,2013,NBA,2,38,WAS,Nate Wolters,22.049,G,us,South Dakota State,2014,2018,84,18.8,5.5,2.2,2.5,0.5,0.2,0.423,0.452,0.261,0.635,0.9,0.028
364,2014,NBA,1,26,MIA,P.J. Hairston,21.189,G-F,us,UNC,2015,2016,111,18,6,2.4,0.5,0.5,0.2,0.343,0.414,0.295,0.81,0.9,0.021
365,2014,NBA,2,60,SAS,Cory Jefferson,23.188,F,us,Baylor,2015,2016,58,10,3.5,2.8,0.3,0.2,0.4,0.444,0.474,0.125,0.583,0.9,0.071
366,2007,NBA,2,34,DAL,Nick Fazekas,22.016,F,us,Nevada,2008,2008,26,10.3,4.1,3.4,0.4,0.3,0.4,0.561,0.575,0,0.682,0.8,0.148
367,2008,NBA,2,48,PHO,Malik Hairston,21.129,G,us,Oregon,2009,2010,62,7.6,2.4,1.2,0.5,0.2,0.3,0.512,0.549,0.167,0.514,0.8,0.086
368,2010,NBA,1,12,MEM,Xavier Henry,19.106,G,be,Kansas,2011,2015,185,15.7,5.7,1.9,0.6,0.5,0.1,0.406,0.419,0.325,0.635,0.8,0.013
369,2013,NBA,1,19,CLE,Sergey Karasev,19.249,G-F,ru,,2014,2016,95,11.7,3,1.5,0.9,0.3,0,0.395,0.489,0.282,0.842,0.8,0.036
370,2014,NBA,1,17,BOS,James Young,18.319,G-F,us,Kentucky,2015,2018,95,8.5,2.3,1,0.3,0.3,0.1,0.367,0.534,0.277,0.563,0.8,0.046
371,2007,NBA,2,41,MIN,Chris Richard,22.19,F,us,Florida,2008,2010,70,11.1,1.9,2.8,0.4,0.3,0.2,0.483,0.483,,0.605,0.7,0.045
372,2010,NBA,1,22,POR,Elliot Williams,21.009,G,us,Memphis,2012,2016,109,13.5,4.9,1.5,0.9,0.4,0.1,0.421,0.489,0.31,0.669,0.7,0.024
373,2010,NBA,2,41,MIA,Jarvis Varnado,22.12,F,us,Mississippi State,2013,2014,37,10.7,2.9,1.9,0.4,0.3,0.8,0.582,0.582,,0.518,0.7,0.089
374,2014,NBA,1,29,OKC,Josh Huestis,22.195,F,us,Stanford,2016,2018,76,14.1,2.5,2.4,0.3,0.2,0.6,0.346,0.4,0.312,0.24,0.7,0.03
375,2009,NBA,1,24,DAL,Byron Mullens,20.136,C,us,Ohio State,2010,2014,189,18.2,7.4,4.2,0.8,0.4,0.5,0.408,0.438,0.319,0.706,0.6,0.008
